2	TES_low_PCS_high	0.571253	0.674609	0.754072	0.707419
4	TES_low_PCS_high	0.682160	0.752394	0.793257	0.746343
17	TES_high_PCS_low	0.580457	0.578370	0.655005	0.655956
19	TES_low_PCS_high	0.636856	0.643308	0.760218	0.726489
21	TES_low_PCS_high	0.694950	0.818968	0.807487	0.798589
22	both_low	0.655618	0.918010	0.811994	0.888715
23	TES_high_PCS_low	0.643183	0.620182	0.796105	0.800940
29	both_high	0.684323	0.663396	0.775865	0.685998
35	both_low	0.683162	0.752861	0.667007	0.686259
36	both_low	0.622439	0.679748	0.593153	0.683124
37	both_high	0.569631	0.503153	0.557516	0.526123
59	both_high	0.667687	0.615510	0.701198	0.594044
64	TES_low_PCS_high	0.547218	0.669937	0.736518	0.683908
67	both_low	0.663161	0.779724	0.777803	0.809822
69	TES_low_PCS_high	0.705947	0.853305	0.861122	0.826280
74	both_low	0.696474	0.832516	0.808159	0.813741
83	both_high	0.714065	0.690026	0.784673	0.700627
86	both_low	0.753093	0.836487	0.690048	0.706113
88	both_high	0.665500	0.456202	0.812138	0.496343
91	TES_low_PCS_high	0.593338	0.653586	0.673017	0.566353
92	both_high	0.690432	0.525111	0.803508	0.749739
94	TES_low_PCS_high	0.636403	0.672506	0.786619	0.617816
97	both_high	0.760431	0.668535	0.829527	0.789707
100	both_low	0.690756	0.717356	0.773891	0.795716
101	both_high	0.718832	0.567391	0.770182	0.708464
105	both_high	0.723127	0.718524	0.817346	0.693574
106	TES_low_PCS_high	0.644736	0.861247	0.894108	0.777691
107	TES_low_PCS_high	0.646953	0.772249	0.827590	0.807733
112	both_low	0.688073	0.749124	0.688143	0.745037
113	both_low	0.613377	0.635366	0.535892	0.578370
117	both_high	0.711867	0.524644	0.688785	0.603710
134	both_high	0.608633	0.551507	0.762143	0.715778
138	TES_low_PCS_high	0.664473	0.740481	0.808632	0.788924
139	TES_low_PCS_high	0.750385	0.760336	0.894795	0.791014
140	both_low	0.660761	0.861715	0.881702	0.897858
146	TES_low_PCS_high	0.718510	0.886475	0.760461	0.756008
151	both_high	0.597938	0.442186	0.628157	0.560084
167	TES_low_PCS_high	0.657407	0.663163	0.721701	0.645768
181	TES_high_PCS_low	0.621515	0.581873	0.555893	0.606583
182	TES_low_PCS_high	0.699248	0.793273	0.796019	0.708986
185	TES_low_PCS_high	0.699137	0.755431	0.813985	0.783699
